"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Total Persons","2022","Male","Not stated","Population aged 15 years and over at work","Number","91971"
"Total Persons","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","26300"
"Total Persons","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","11511"
"Total Persons","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","9675"
"Total Persons","2022","Male","All means of travel","All persons","Number","1665891"
"Total Persons","2022","Male","All means of travel","Population aged 15 years and over at work","Number","1087571"
"Total Persons","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","288040"
"Total Persons","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","197507"
"Total Persons","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","92773"
"Total Persons","2022","Female","On foot","All persons","Number","226961"
"Total Persons","2022","Female","On foot","Population aged 15 years and over at work","Number","98832"
"Total Persons","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","66637"
"Total Persons","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","39306"
"Total Persons","2022","Female","On foot","Students at school or college aged 19 years and over","Number","22186"
"Total Persons","2022","Female","Bicycle","All persons","Number","25034"
"Total Persons","2022","Female","Bicycle","Population aged 15 years and over at work","Number","16838"
"Total Persons","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","4550"
"Total Persons","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","1459"
"Total Persons","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","2187"
"Total Persons","2022","Female","Bus, minibus or coach","All persons","Number","166418"
"Total Persons","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","64725"
"Total Persons","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","24243"
"Total Persons","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","50256"
"Total Persons","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","27194"
