"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","132"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","2351"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Passenger","All persons","Number","4597"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","2001"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","990"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","992"
"Journey time 45 mins - < 60 mins","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","614"
"Journey time 45 mins - < 60 mins","2022","Male","Van","All persons","Number","10911"
"Journey time 45 mins - < 60 mins","2022","Male","Van","Population aged 15 years and over at work","Number","10854"
"Journey time 45 mins - < 60 mins","2022","Male","Van","Children at school aged between 5 and 12 years","Number","6"
"Journey time 45 mins - < 60 mins","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","12"
"Journey time 45 mins - < 60 mins","2022","Male","Van","Students at school or college aged 19 years and over","Number","39"
"Journey time 45 mins - < 60 mins","2022","Male","Other, incl. lorry","All persons","Number","550"
"Journey time 45 mins - < 60 mins","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","530"
"Journey time 45 mins - < 60 mins","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","4"
"Journey time 45 mins - < 60 mins","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","9"
"Journey time 45 mins - < 60 mins","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","7"
"Journey time 45 mins - < 60 mins","2022","Male","Not stated","All persons","Number","294"
"Journey time 45 mins - < 60 mins","2022","Male","Not stated","Population aged 15 years and over at work","Number","203"
"Journey time 45 mins - < 60 mins","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","34"
"Journey time 45 mins - < 60 mins","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","35"
"Journey time 45 mins - < 60 mins","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","22"
"Journey time 45 mins - < 60 mins","2022","Male","All means of travel","All persons","Number","100600"
"Journey time 45 mins - < 60 mins","2022","Male","All means of travel","Population aged 15 years and over at work","Number","84451"
"Journey time 45 mins - < 60 mins","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","2198"
"Journey time 45 mins - < 60 mins","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","5873"
"Journey time 45 mins - < 60 mins","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","8078"
"Journey time 45 mins - < 60 mins","2022","Female","On foot","All persons","Number","3898"
"Journey time 45 mins - < 60 mins","2022","Female","On foot","Population aged 15 years and over at work","Number","2976"
"Journey time 45 mins - < 60 mins","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","156"
"Journey time 45 mins - < 60 mins","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","314"
"Journey time 45 mins - < 60 mins","2022","Female","On foot","Students at school or college aged 19 years and over","Number","452"
"Journey time 45 mins - < 60 mins","2022","Female","Bicycle","All persons","Number","827"
"Journey time 45 mins - < 60 mins","2022","Female","Bicycle","Population aged 15 years and over at work","Number","724"
"Journey time 45 mins - < 60 mins","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","19"
"Journey time 45 mins - < 60 mins","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","14"
"Journey time 45 mins - < 60 mins","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","70"
"Journey time 45 mins - < 60 mins","2022","Female","Bus, minibus or coach","All persons","Number","18188"
"Journey time 45 mins - < 60 mins","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","9725"
"Journey time 45 mins - < 60 mins","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","743"
"Journey time 45 mins - < 60 mins","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","3855"
"Journey time 45 mins - < 60 mins","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","3865"
"Journey time 45 mins - < 60 mins","2022","Female","Train, DART or LUAS","All persons","Number","7284"
"Journey time 45 mins - < 60 mins","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","5703"
"Journey time 45 mins - < 60 mins","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","39"
"Journey time 45 mins - < 60 mins","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","445"
"Journey time 45 mins - < 60 mins","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1097"
"Journey time 45 mins - < 60 mins","2022","Female","Motorcycle or scooter","All persons","Number","76"
"Journey time 45 mins - < 60 mins","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","71"
"Journey time 45 mins - < 60 mins","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 45 mins - < 60 mins","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","0"
"Journey time 45 mins - < 60 mins","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","5"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Driver","All persons","Number","51470"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","48743"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","89"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","2638"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Passenger","All persons","Number","4049"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","1575"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","906"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","904"
"Journey time 45 mins - < 60 mins","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","664"
"Journey time 45 mins - < 60 mins","2022","Female","Van","All persons","Number","224"
"Journey time 45 mins - < 60 mins","2022","Female","Van","Population aged 15 years and over at work","Number","213"
"Journey time 45 mins - < 60 mins","2022","Female","Van","Children at school aged between 5 and 12 years","Number","4"
"Journey time 45 mins - < 60 mins","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","3"
"Journey time 45 mins - < 60 mins","2022","Female","Van","Students at school or college aged 19 years and over","Number","4"
"Journey time 45 mins - < 60 mins","2022","Female","Other, incl. lorry","All persons","Number","31"
"Journey time 45 mins - < 60 mins","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","21"
"Journey time 45 mins - < 60 mins","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","3"
"Journey time 45 mins - < 60 mins","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","2"
"Journey time 45 mins - < 60 mins","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","5"
"Journey time 45 mins - < 60 mins","2022","Female","Not stated","All persons","Number","187"
"Journey time 45 mins - < 60 mins","2022","Female","Not stated","Population aged 15 years and over at work","Number","116"
"Journey time 45 mins - < 60 mins","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","21"
"Journey time 45 mins - < 60 mins","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","27"
"Journey time 45 mins - < 60 mins","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","23"
"Journey time 45 mins - < 60 mins","2022","Female","All means of travel","All persons","Number","86234"
"Journey time 45 mins - < 60 mins","2022","Female","All means of travel","Population aged 15 years and over at work","Number","69867"
"Journey time 45 mins - < 60 mins","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","1891"
"Journey time 45 mins - < 60 mins","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","5653"
"Journey time 45 mins - < 60 mins","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","8823"
"Journey time 60 mins - < 90 mins","2022","Both sexes","On foot","All persons","Number","4481"
"Journey time 60 mins - < 90 mins","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","3102"
"Journey time 60 mins - < 90 mins","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","386"
"Journey time 60 mins - < 90 mins","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","353"
"Journey time 60 mins - < 90 mins","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","640"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bicycle","All persons","Number","2014"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","1713"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","53"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","70"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","178"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bus, minibus or coach","All persons","Number","42853"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","24179"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","1321"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","5791"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","11562"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Train, DART or LUAS","All persons","Number","21113"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","16026"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","72"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","978"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","4037"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motorcycle or scooter","All persons","Number","378"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","346"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","2"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","30"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Driver","All persons","Number","93089"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","87107"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","198"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","5784"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Passenger","All persons","Number","8572"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","4305"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","1512"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","1432"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","1323"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Van","All persons","Number","21281"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Van","Population aged 15 years and over at work","Number","21175"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","11"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","17"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","78"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Other, incl. lorry","All persons","Number","1037"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","1004"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","4"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","10"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","19"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Not stated","All persons","Number","579"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","398"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","72"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","48"
"Journey time 60 mins - < 90 mins","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","61"
"Journey time 60 mins - < 90 mins","2022","Both sexes","All means of travel","All persons","Number","195397"
"Journey time 60 mins - < 90 mins","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","159355"
"Journey time 60 mins - < 90 mins","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","3431"
"Journey time 60 mins - < 90 mins","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","8899"
"Journey time 60 mins - < 90 mins","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","23712"
"Journey time 60 mins - < 90 mins","2022","Male","On foot","All persons","Number","2202"
"Journey time 60 mins - < 90 mins","2022","Male","On foot","Population aged 15 years and over at work","Number","1532"
"Journey time 60 mins - < 90 mins","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","183"
"Journey time 60 mins - < 90 mins","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","184"
"Journey time 60 mins - < 90 mins","2022","Male","On foot","Students at school or college aged 19 years and over","Number","303"
"Journey time 60 mins - < 90 mins","2022","Male","Bicycle","All persons","Number","1529"
"Journey time 60 mins - < 90 mins","2022","Male","Bicycle","Population aged 15 years and over at work","Number","1308"
"Journey time 60 mins - < 90 mins","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","34"
"Journey time 60 mins - < 90 mins","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","57"
"Journey time 60 mins - < 90 mins","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","130"
"Journey time 60 mins - < 90 mins","2022","Male","Bus, minibus or coach","All persons","Number","20607"
"Journey time 60 mins - < 90 mins","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","11552"
"Journey time 60 mins - < 90 mins","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","771"
"Journey time 60 mins - < 90 mins","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","2821"
"Journey time 60 mins - < 90 mins","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","5463"
"Journey time 60 mins - < 90 mins","2022","Male","Train, DART or LUAS","All persons","Number","10834"
"Journey time 60 mins - < 90 mins","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","8376"
"Journey time 60 mins - < 90 mins","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","35"
"Journey time 60 mins - < 90 mins","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","484"
"Journey time 60 mins - < 90 mins","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1939"
"Journey time 60 mins - < 90 mins","2022","Male","Motorcycle or scooter","All persons","Number","317"
"Journey time 60 mins - < 90 mins","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","298"
"Journey time 60 mins - < 90 mins","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1"
"Journey time 60 mins - < 90 mins","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","18"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Driver","All persons","Number","54009"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","51158"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","123"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","2728"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Passenger","All persons","Number","5146"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","3016"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","757"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","755"
"Journey time 60 mins - < 90 mins","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","618"
"Journey time 60 mins - < 90 mins","2022","Male","Van","All persons","Number","20922"
"Journey time 60 mins - < 90 mins","2022","Male","Van","Population aged 15 years and over at work","Number","20826"
"Journey time 60 mins - < 90 mins","2022","Male","Van","Children at school aged between 5 and 12 years","Number","7"
"Journey time 60 mins - < 90 mins","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","13"
"Journey time 60 mins - < 90 mins","2022","Male","Van","Students at school or college aged 19 years and over","Number","76"
"Journey time 60 mins - < 90 mins","2022","Male","Other, incl. lorry","All persons","Number","997"
"Journey time 60 mins - < 90 mins","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","978"
"Journey time 60 mins - < 90 mins","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","4"
"Journey time 60 mins - < 90 mins","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","6"
"Journey time 60 mins - < 90 mins","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","9"
"Journey time 60 mins - < 90 mins","2022","Male","Not stated","All persons","Number","366"
"Journey time 60 mins - < 90 mins","2022","Male","Not stated","Population aged 15 years and over at work","Number","270"
"Journey time 60 mins - < 90 mins","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","33"
"Journey time 60 mins - < 90 mins","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","26"
"Journey time 60 mins - < 90 mins","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","37"
"Journey time 60 mins - < 90 mins","2022","Male","All means of travel","All persons","Number","116929"
"Journey time 60 mins - < 90 mins","2022","Male","All means of travel","Population aged 15 years and over at work","Number","99314"
"Journey time 60 mins - < 90 mins","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","1824"
"Journey time 60 mins - < 90 mins","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","4470"
"Journey time 60 mins - < 90 mins","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","11321"
"Journey time 60 mins - < 90 mins","2022","Female","On foot","All persons","Number","2279"
"Journey time 60 mins - < 90 mins","2022","Female","On foot","Population aged 15 years and over at work","Number","1570"
"Journey time 60 mins - < 90 mins","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","203"
"Journey time 60 mins - < 90 mins","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","169"
"Journey time 60 mins - < 90 mins","2022","Female","On foot","Students at school or college aged 19 years and over","Number","337"
"Journey time 60 mins - < 90 mins","2022","Female","Bicycle","All persons","Number","485"
"Journey time 60 mins - < 90 mins","2022","Female","Bicycle","Population aged 15 years and over at work","Number","405"
"Journey time 60 mins - < 90 mins","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","19"
"Journey time 60 mins - < 90 mins","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","13"
"Journey time 60 mins - < 90 mins","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","48"
"Journey time 60 mins - < 90 mins","2022","Female","Bus, minibus or coach","All persons","Number","22246"
"Journey time 60 mins - < 90 mins","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","12627"
"Journey time 60 mins - < 90 mins","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","550"
"Journey time 60 mins - < 90 mins","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","2970"
"Journey time 60 mins - < 90 mins","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","6099"
"Journey time 60 mins - < 90 mins","2022","Female","Train, DART or LUAS","All persons","Number","10279"
"Journey time 60 mins - < 90 mins","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","7650"
"Journey time 60 mins - < 90 mins","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","37"
"Journey time 60 mins - < 90 mins","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","494"
"Journey time 60 mins - < 90 mins","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2098"
"Journey time 60 mins - < 90 mins","2022","Female","Motorcycle or scooter","All persons","Number","61"
"Journey time 60 mins - < 90 mins","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","48"
"Journey time 60 mins - < 90 mins","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1"
"Journey time 60 mins - < 90 mins","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","12"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Driver","All persons","Number","39080"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","35949"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","75"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","3056"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Passenger","All persons","Number","3426"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","1289"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","755"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","677"
"Journey time 60 mins - < 90 mins","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","705"
"Journey time 60 mins - < 90 mins","2022","Female","Van","All persons","Number","359"
"Journey time 60 mins - < 90 mins","2022","Female","Van","Population aged 15 years and over at work","Number","349"
"Journey time 60 mins - < 90 mins","2022","Female","Van","Children at school aged between 5 and 12 years","Number","4"
"Journey time 60 mins - < 90 mins","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","4"
"Journey time 60 mins - < 90 mins","2022","Female","Van","Students at school or college aged 19 years and over","Number","2"
"Journey time 60 mins - < 90 mins","2022","Female","Other, incl. lorry","All persons","Number","40"
"Journey time 60 mins - < 90 mins","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","26"
"Journey time 60 mins - < 90 mins","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","0"
"Journey time 60 mins - < 90 mins","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","4"
"Journey time 60 mins - < 90 mins","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","10"
"Journey time 60 mins - < 90 mins","2022","Female","Not stated","All persons","Number","213"
"Journey time 60 mins - < 90 mins","2022","Female","Not stated","Population aged 15 years and over at work","Number","128"
"Journey time 60 mins - < 90 mins","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","39"
"Journey time 60 mins - < 90 mins","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","22"
"Journey time 60 mins - < 90 mins","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","24"
"Journey time 60 mins - < 90 mins","2022","Female","All means of travel","All persons","Number","78468"
"Journey time 60 mins - < 90 mins","2022","Female","All means of travel","Population aged 15 years and over at work","Number","60041"
"Journey time 60 mins - < 90 mins","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","1607"
"Journey time 60 mins - < 90 mins","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","4429"
"Journey time 60 mins - < 90 mins","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","12391"
"Journey time 90 mins and over","2022","Both sexes","On foot","All persons","Number","0"
"Journey time 90 mins and over","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","0"
"Journey time 90 mins and over","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","0"
"Journey time 90 mins and over","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Bicycle","All persons","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Bus, minibus or coach","All persons","Number","20395"
"Journey time 90 mins and over","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","10962"
"Journey time 90 mins and over","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","258"
"Journey time 90 mins and over","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","1703"
"Journey time 90 mins and over","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","7472"
"Journey time 90 mins and over","2022","Both sexes","Train, DART or LUAS","All persons","Number","10928"
"Journey time 90 mins and over","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","7287"
"Journey time 90 mins and over","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","20"
"Journey time 90 mins and over","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","489"
"Journey time 90 mins and over","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3132"
"Journey time 90 mins and over","2022","Both sexes","Motorcycle or scooter","All persons","Number","116"
